Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
Suffragette,245168,Drama,Ruby Films,14000000,16002420,Based on true events about the foot soldiers of the early feminist movement who were forced underground to evade the State.,2015-10-16
The 33,293646,Drama,Alcon Entertainment,25000000,24902723,"Based on a true story about the collapse at the mine in San Jose, Chile that  left 33 miners isolated underground for 69 days.",2015-08-06
Manglehorn,254905,Drama,Worldview Entertainment,4000000,143101,"AJ Manglehorn is an aging, ordinary guy in a small town. He nurses his sick cat, squeezes out a conversation with the local bank teller every Friday, and eats at the same place every day.  But there is more to Manglehorn than meets the eye: he’s an ex-con who, 40 years ago, gave up the woman of his dreams for a big ‘job’. He now obsesses daily over the choices he made. After a dramatic effort to start over, Manglehorn faces a terrifying moment and is unmasked as a guy with a very, very dark past.",2015-06-03
Beasts of No Nation,283587,Drama,Participant Media,6000000,9077700,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country. Follows the journey of a young boy, Agu, who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit, visceral detail, and paints a complex, difficult picture of Agu as a child soldier.",2015-09-11
No Escape,192141,Action,Living Films,5000000,54418872,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",2015-08-26
Irrational Man,282984,Drama,Perdido Productions,11000000,27391084,"On a small town college campus, a philosophy professor in existential crisis gives his life new purpose when he enters into a relationship with his student.",2015-07-17
The Lazarus Effect,243940,Thriller,Lionsgate,3300000,64110728,"Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her.",2015-01-29
Truth,300693,Drama,Mythology Entertainment (II),9600000,2541554,A behind-the-scenes look at news anchor Dan Rather during his final days at C.B.S. News when he broadcast a damaging report about how President Bush relied on privilege and family connections to avoid fighting in the Vietnam War.,2015-09-12
Jane Got a Gun,174751,Action,1821 Pictures,25000000,1397284,"After her outlaw husband returns home shot with eight bullets and barely alive, Jane reluctantly reaches out to an ex-lover who she hasn't seen in over ten years to help her defend her farm when the time comes that her husband's gang eventually tracks him down to finish the job.",2015-12-31
Zootopia,269149,Animation,Walt Disney Animation Studios,150000000,1023784195,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",2016-02-11
Batman v Superman: Dawn of Justice,209112,Action,RatPac-Dune Entertainment,250000000,873260194,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016-03-23
Captain America: Civil War,271110,Adventure,Marvel Studios,240000000,1153304495,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016-04-27
Fantastic Beasts and Where to Find Them,259316,Adventure,Heyday Films,180000000,809342332,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",2016-11-16
Hacksaw Ridge,324786,Drama,Vendian Entertainment,40000000,175302354,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",2016-10-07
X-Men: Apocalypse,246655,Action,The Donners' Company,178000000,543934787,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016-05-18
Star Trek Beyond,188927,Action,Skydance Media,185000000,343471816,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",2016-07-07
Kung Fu Panda 3,140300,Action,Oriental DreamWorks,145000000,521170825,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",2016-01-23
La La Land,313369,Comedy,Summit Entertainment,30000000,445435700,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",2016-11-29
The Jungle Book,278927,Adventure,Walt Disney Pictures,175000000,966550600,"A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo.",2016-04-07
Doctor Strange,284052,Action,Marvel Studios,166000000,677718395,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.",2016-10-25
Deadpool,293660,Action,Marvel Entertainment,58000000,783100000,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",2016-02-09
Miss Peregrine's Home for Peculiar Children,283366,Drama,Big Screen Productions,111000000,296485718,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.,2016-09-28
Finding Dory,127380,Adventure,Pixar,200000000,1028570889,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,2016-06-16
Arrival,329865,Thriller,Paramount,47000000,203388186,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",2016-11-10
Now You See Me 2,291805,Action,Summit Entertainment,90000000,334901337,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",2016-06-02
The Legend of Tarzan,258489,Action,Village Roadshow Pictures,180000000,356743061,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016-06-29
Moonlight,376867,Drama,Pastel,4000000,65046687,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",2016-10-21
The Magnificent Seven,333484,Adventure,Escape Artists,90000000,162360636,Seven gun men in the old west gradually come together to help a poor village against savage thieves.,2016-09-14
Manchester by the Sea,334541,Drama,Amazon Studios,9000000,75026965,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",2016-11-18
Rogue One: A Star Wars Story,330459,Action,Walt Disney Pictures,200000000,1056057273,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,2016-12-14
The Nice Guys,290250,Action,Silver Pictures,50000000,62788218,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,2016-05-15
Hell or High Water,338766,Crime,OddLot Entertainment,12000000,37589296,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,2016-08-12
Ghostbusters,43074,Action,Ghostcorps,144000000,229147509,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016-07-14
Ice Age: Collision Course,278154,Adventure,Blue Sky Studios,105000000,408579038,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.",2016-06-23
War Dogs,308266,Comedy,The Mark Gordon Company,40000000,86234523,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",2016-08-17
Independence Day: Resurgence,47933,Action,Centropolis Entertainment,165000000,389681935,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",2016-06-22
The Purge: Election Year,316727,Action,Why Not Productions,10000000,118587880,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",2016-06-29
Warcraft,68735,Action,Legendary Pictures,160000000,433677183,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",2016-05-25
Underworld: Blood Wars,346672,Action,Lakeshore Entertainment,35000000,81093313,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",2016-11-28
Trolls,136799,Adventure,DreamWorks Animation,125000000,346864462,"Lovable and friendly, the trolls love to play around. But one day, a mysterious giant shows up to end the party. Poppy, the optimistic leader of the Trolls, and her polar opposite, Branch, must embark on an adventure that takes them far beyond the only world they’ve ever known.",2016-10-13
Sausage Party,223702,Adventure,Columbia Pictures,19000000,140705322,"Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.",2016-07-11
Suicide Squad,297761,Action,Atlas Entertainment,176000000,745600054,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",2016-08-02
Inferno,207932,Mystery,Mid Atlantic Films,75000000,220021259,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",2016-10-13
10 Cloverfield Lane,333371,Thriller,Spectrum Effects,15000000,108286421,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",2016-03-10
Alice Through the Looking Glass,241259,Adventure,Legend3D,170000000,299370084,"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.",2016-05-25
Sing,335797,Animation,Illumination Entertainment,75000000,632443719,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,2016-11-23
The Great Wall,311324,Action,Legendary Pictures,150000000,331957105,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,2016-12-16
Allegiant,262504,Adventure,Mandeville Films,110000000,179246868,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,2016-03-09
Jack Reacher: Never Go Back,343611,Action,TC Productions,60000000,162146076,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",2016-10-19
Me Before You,296096,Drama,New Line Cinema,20000000,207945075,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",2016-06-02
The Shallows,332567,Horror,Columbia Pictures,17000000,119100758,"An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas.",2016-06-24
13 Hours: The Secret Soldiers of Benghazi,300671,Action,Paramount,50000000,69411370,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,2016-01-13
The Accountant,302946,Crime,Zero Gravity Management,44000000,155160045,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",2016-10-14
Kubo and the Two Strings,313297,Animation,Focus Features,60000000,69929545,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",2016-08-18
Central Intelligence,302699,Action,Principato-Young Entertainment,50000000,216972543,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",2016-06-15
Deepwater Horizon,296524,Drama,TIK Film,110000000,121790373,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",2016-09-29
The Conjuring 2,259693,Horror,New Line Cinema,40000000,320170008,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,2016-05-13
A Monster Calls,258230,Drama,River Road Entertainment,43000000,47309313,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,2016-10-07
Ballerina,342473,Animation,Main Journey,30000000,2351359,"Set in 1879 Paris. An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",2016-12-14
The Huntsman: Winter's War,290595,Action,Roth Films,115000000,164602163,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",2016-04-06
Silence,68730,Drama,Waypoint Entertainment,46000000,23737523,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",2016-12-22
Captain Fantastic,334533,Adventure,ShivHans Pictures,5000000,5879736,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,2016-07-02
Miss Sloane,376290,Drama,France Télévisions Distribution,13000000,9101546,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,2016-11-25
How to Be Single,259694,Comedy,New Line Cinema,38000000,112343513,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",2016-01-21
Nocturnal Animals,340666,Drama,Universal Pictures,22500000,29252978,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",2016-11-04
Sully,363676,Drama,"Kennedy/Marshall Company, The",60000000,238470033,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",2016-09-07
Patriots Day,388399,Crime,TIK Films,45000000,50548152,"An account of Boston Police Commissioner Ed Davis's actions in the events leading up to the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists behind it.",2016-12-12
Eddie the Eagle,319888,Comedy,Studio Babelsberg,23000000,46152411,"Inspired by true events, Eddie the Eagle is a feel-good story about Michael ""Eddie"" Edwards (Taron Egerton), an unlikely but courageous British ski-jumper who never stopped believing in himself - even as an entire nation was counting him out. With the help of a rebellious and charismatic coach (played by Hugh Jackman), Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics.",2016-02-26
Assassin's Creed,121856,Action,New Regency Pictures,125000000,240697856,"Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",2016-12-21
The 5th Wave,299687,Adventure,LStar Capital,38000000,109906372,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,2016-01-14
Ben-Hur,271969,Action,Sean Daniel Company,100000000,94061311,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,2016-08-17
The BFG,267935,Adventure,"Kennedy/Marshall Company, The",140000000,183345589,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",2016-06-01
A Street Cat Named Bob,404378,Drama,Iris productions,8000000,82703,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.",2016-11-04
Neighbors 2: Sorority Rising,325133,Comedy,Perfect World Pictures,35000000,108758521,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,2016-05-04
The Founder,310307,Drama,Speedie Distribution,25000000,23964782,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",2016-11-24
The Girl on the Train,346685,Crime,Reliance Entertainment,45000000,173185859,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",2016-10-05
Dirty Grandpa,291870,Comedy,Covert Media,11500000,94073028,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",2016-01-21
Nerve,328387,Mystery,Keep Your Head,19000000,85241496,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",2016-07-27
Passengers,274870,Drama,Wanda Pictures,110000000,303144152,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",2016-12-21
Gods of Egypt,205584,Action,Thunder Road Pictures,140000000,150680864,A common thief joins a mythical god on a quest through Egypt.,2016-02-25
Don't Breathe,300669,Crime,Ghost House Pictures,9900000,159047649,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,2016-08-25
Mike and Dave Need Wedding Dates,316023,Comedy,Chernin Entertainment,33000000,77068246,"Mike and Dave are young, adventurous, fun-loving brothers who tend to get out of control at family gatherings. When their sister Jeanie reveals her Hawaiian wedding plans, the rest of the Stangles insist that the brothers bring respectable dates. After placing an ad on Craigslist, the siblings decide to pick Tatiana and Alice, two charming and seemingly normal women. Once they arrive on the island, however, Mike and Dave realize that their companions are ready to get wild and party.",2016-07-07
Bad Moms,376659,Comedy,STX Entertainment,20000000,183936074,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",2016-07-28
Why Him?,356305,Comedy,21 Laps Entertainment,38000000,118034273,A dad forms a bitter rivalry with his daughter's young rich boyfriend.,2016-12-22
Triple 9,146198,Action,Surefire Capital,20000000,12639297,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,2016-02-19
The Witch,310131,Mystery,Very Special Projects,3500000,40423945,"In 1630s New England, William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness, exiled from their settlement when William defies the local church. When their newborn son vanishes and crops mysteriously fail, the family turns on one another.",2016-02-19
Allied,369885,Action,Paramount,85000000,119520023,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",2016-11-17
The Handmaiden,290098,Thriller,CJ Entertainment,8575000,1983204,"1930s Korea, in the period of Japanese occupation, a new girl (Sookee) is hired as a handmaiden to a Japanese heiress (Hideko) who lives a secluded life on a large countryside estate with her domineering Uncle (Kouzuki). But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",2016-06-01
The Boy,321258,Horror,Lakeshore Entertainment,10000000,64188367,"A nanny, working for a family whose son has just passed away, finds herself put in charge of caring for a lifelike doll that the couple treat as a real child.",2016-01-22
Grimsby,267193,Action,Working Title Films,35000000,25182929,"Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.",2016-02-24
Snowden,302401,Drama,Endgame Entertainment,40000000,37279439,CIA employee Edward Snowden leaks thousands of classified documents to the press.,2016-09-15
Live by Night,259695,Crime,Appian Way,108000000,22678555,A story set in the Prohibition Era and centered around a group of individuals and their dealings in the world of organized crime.,2016-12-25
Criminal,302156,Action,Millennium Films,31500000,14708696,"Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman."" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal.",2016-04-14
Storks,332210,Adventure,Warner Bros. Animation,70000000,182379278,"Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl...",2016-09-22
Gold,334524,Adventure,Living Films,20000000,7227038,"Kenny Wells, a modern-day prospector, hustler, and dreamer, is desperate for a lucky break. Left with few options, Wells teams up with an equally luckless geologist to execute a grandiose, last-ditch effort: to find gold deep in the uncharted jungle of Indonesia.",2016-12-22
London Has Fallen,267860,Action,Millennium Films,60000000,205754447,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",2016-03-02
Bridget Jones's Baby,95610,Comedy,Working Title Films,35000000,211952420,"Breaking up with Mark Darcy leaves Bridget Jones over 40 and single again. Feeling that she has everything under control, Jones decides to focus on her career as a top news producer. Suddenly, her love life comes back from the dead when she meets a dashing and handsome American named Jack. Things couldn't be better, until Bridget discovers that she is pregnant. Now, the befuddled mom-to-be must figure out if the proud papa is Mark or Jack.",2016-09-14
Zoolander 2,329833,Comedy,Scott Rudin Productions,50000000,55969000,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,2016-02-06
The Finest Hours,300673,Action,Red Hawk Entertainment,80000000,52099090,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,2016-01-25
Midnight Special,245703,Adventure,Faliro House Productions,18000000,6212282,A father and son go on the run after the dad learns his child possesses special powers.,2016-02-18
The Neon Demon,301365,Thriller,Amazon Studios,7000000,1333124,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",2016-06-08
Race,323677,Action,Trinity Race,5000000,24804129,"Based on the incredible true story of Jesse Owens, the legendary athletic superstar whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy. Starring Stephan James, Jason Sudeikis, Jeremy Irons, Carice Van Houten and William Hurt - Race is an enthralling film about courage, determination, tolerance, and friendship, and an inspiring drama about one man's fight to become an Olympic legend.",2016-02-19
Office Christmas Party,384682,Comedy,Bluegrass Films,45000000,114501299,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand.",2016-11-25
Anthropoid,351339,History,LD Entertainment,9000000,4600000,"In December 1941, Czech soldier Jozef Gabčík and Jan Kubiš parachute into their occupied homeland to assassinate Nazi officer Reinhard Heydrich",2016-08-12
The Boss,323676,Comedy,Universal Pictures,29000000,78636257,"A titan of industry is sent to prison after she's caught for insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",2016-04-07
Collateral Beauty,345920,Drama,Village Roadshow Pictures,36000000,87416021,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",2016-12-06
Term Life,257440,Thriller,WWE Studios,16500000,21256,"If Nick Barrow can stay alive for 21 days, he'll die happy. Everyone Nick knows wants him dead; Mob bosses, contract killers, and dirty cops. Performing the last act of a desperate man, Nick takes out a million dollar insurance policy on himself, payable to his estranged daughter. The problem? The policy doesn't take effect for 21 days. Nick knows they'll be lucky to be alive for twenty-one hours.",2016-04-29
Pete's Dragon,294272,Adventure,Walt Disney Pictures,65000000,143695338,"Pete is a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, forest ranger Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",2016-08-10
Pride and Prejudice and Zombies,58431,Romance,Screen Gems,28000000,16374328,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",2016-02-04
Blair Witch,351211,Thriller,Vertigo Entertainment,5000000,45172994,Students on a camping trip discover something sinister is lurking beyond the trees.,2016-09-15
Ride Along 2,323675,Action,Reel Chefs Catering,40000000,124827316,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",2016-01-14
"Hail, Caesar!",270487,Comedy,Universal Pictures,22000000,63647656,"Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.",2016-02-05
Rules Don't Apply,291328,Romance,Tatira,25000000,3885342,"It's Hollywood, 1958. Small town beauty queen and devout Baptist virgin Marla Mabrey, under contract to the infamous Howard Hughes, arrives in Los Angeles. At the airport, she meets her driver Frank Forbes, who is engaged to be married to his seventh grade sweetheart and is a deeply religious Methodist. Their instant attraction not only puts their religious convictions to the test, but also defies Hughes' number one rule: No employee is allowed to have any relationship whatsoever with a contract actress. Hughes' behavior intersects with Marla and Frank in very separate and unexpected ways, and as they are drawn deeper into his bizarre world, their values are challenged and their lives are changed.",2016-11-23
Money Monster,303858,Thriller,Allegiance Theater,27000000,93282604,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,2016-05-12
