Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
The Brave One,4413,Crime,Village Roadshow Pictures,70000000,69766619,A woman struggles to recover from a brutal attack by setting out on a mission for revenge.,2007-09-14
Before the Devil Knows You're Dead,7972,Crime,Michael Cerenzie Productions,18000000,25005257,"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax.",2007-09-26
The Water Horse,54318,Adventure,Revolution Studios,40000000,103071443,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,2007-12-25
Pathfinder,1534,Adventure,Dune Entertainment,45000000,30822861,"A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe, he ultimately becomes their savior in a fight against the Norsemen.",2007-01-11
Saw IV,663,Horror,Twisted Pictures,10000000,139352633,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.",2007-10-25
Om Shanti Om,8079,Comedy,Red Chillies Entertainment,9100000,37707444,"In this modern remake of Karz, Om - an aspiring actor from the 1970s - is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",2007-11-07
1408,3021,Horror,Di Bonaventura Pictures,25000000,94679598,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",2007-07-12
Rendition,5125,Drama,Anonymous Content,27500000,24748670,"When an Egyptian terrorism suspect ""disappears"" on a flight from Africa to Washington DC, his American wife and a CIA analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the US.",2007-09-07
Love in the Time of Cholera,6639,Drama,New Line Cinema,45000000,4607608,"In Colombia just after the Great War, an old man falls from a ladder; dying, he professes great love for his wife. After the funeral, a man calls on the widow - she dismisses him angrily. Flash back more than 50 years to the day Florentino Ariza, a telegraph boy, falls in love with Fermina Daza, the daughter of a mule trader.",2007-10-04
I'm Not There.,3902,Drama,John Wells Productions,20000000,4001121,"Six actors portray six personas of music legend Bob Dylan in scenes depicting various stages of his life, chronicling his rise from unknown folksinger to international icon and revealing how Dylan constantly reinvented himself.",2007-10-01
We Own the Night,2001,Drama,Industry Entertainment,21000000,54926886,A New York nightclub manager tries to save his brother and father from Russian mafia hitmen.,2007-05-25
The Edge of Heaven,2014,Drama,nordmedia Fonds GmbH,3800000,17804565,"Nejat seems disapproving about his widower father Ali's choice of prostitute Yeter for a live-in girlfriend. But he grows fond of her when he discovers she sends money home to Turkey for her daughter's university studies. Yeter's sudden death distances father and son. Nejat travels to Istanbul to search for Yeter's daughter Ayten. Political activist Ayten has fled the Turkish police and is already in Germany. She is befriended by a young woman, Lotte, who invites rebellious Ayten to stay in her home, a gesture not particularly pleasing to her conservative mother Susanne. When Ayten is arrested and her asylum plea is denied, she is deported and imprisoned in Turkey. Lotte travels to Turkey,where she gets caught up in the seemingly hopeless situation of freeing Ayten.",2007-09-27
Perfect Stranger,7183,Crime,Columbia Pictures,60795000,73090611,"A journalist goes undercover to ferret out businessman Harrison Hill as her best friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.",2007-04-12
Premonition,9963,Thriller,TriStar Pictures,20000000,84146832,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead.",2007-02-08
Elizabeth: The Golden Age,4517,Drama,Universal Pictures,55000000,74237563,"When Queen Elizabeth's reign is threatened by ruthless familial betrayal and Spain's invading army, she and her shrewd adviser must act to safeguard to the lives of her people.",2007-09-09
Death Sentence,11835,Action,Dune Entertainment,20000000,16974459,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",2007-08-31
